"reg";"cl_age90";"jour";"hosp";"rea";"rad";"dc"
"52";"39";"2020-04-08";17;5;41;0
"52";"49";"2020-04-08";36;12;83;1
"52";"59";"2020-04-08";81;37;101;3
"52";"69";"2020-04-08";141;54;110;19
"52";"79";"2020-04-08";168;65;122;28
"52";"89";"2020-04-08";178;1;75;66
"52";"90";"2020-04-08";68;1;14;36
"53";"0";"2020-04-08";484;136;373;107
"53";"09";"2020-04-08";0;0;0;0
"53";"19";"2020-04-08";0;0;3;0
"53";"29";"2020-04-08";6;1;13;0
"53";"39";"2020-04-08";12;1;44;0
"53";"49";"2020-04-08";31;14;43;0
"53";"59";"2020-04-08";65;29;66;1
"53";"69";"2020-04-08";96;44;73;14
"53";"79";"2020-04-08";130;42;80;21
"53";"89";"2020-04-08";99;5;35;46
"53";"90";"2020-04-08";42;0;9;25
"75";"0";"2020-04-08";797;242;739;165
"75";"09";"2020-04-08";0;0;0;0
"75";"19";"2020-04-08";3;0;11;0
"75";"29";"2020-04-08";10;1;46;0
"75";"39";"2020-04-08";19;5;63;0
"75";"49";"2020-04-08";39;17;95;1
"75";"59";"2020-04-08";88;40;142;8
"75";"69";"2020-04-08";180;81;138;11
"75";"79";"2020-04-08";176;75;108;36
"75";"89";"2020-04-08";185;19;87;73
"75";"90";"2020-04-08";90;0;31;35
"76";"0";"2020-04-08";1000;329;993;195
"76";"09";"2020-04-08";0;0;0;0
"76";"19";"2020-04-08";2;1;7;0
"76";"29";"2020-04-08";8;2;56;1
"76";"39";"2020-04-08";20;5;94;0
"76";"49";"2020-04-08";63;17;134;1
"76";"59";"2020-04-08";128;60;210;7
"76";"69";"2020-04-08";223;105;170;17
"76";"79";"2020-04-08";270;113;192;43
"76";"89";"2020-04-08";206;23;92;93
"76";"90";"2020-04-08";80;3;22;33
"84";"0";"2020-04-08";2908;736;2330;654
"84";"09";"2020-04-08";0;0;0;0
"84";"19";"2020-04-08";9;3;18;0
"84";"29";"2020-04-08";22;3;121;0
"84";"39";"2020-04-08";48;13;200;4
"84";"49";"2020-04-08";115;31;279;8
"84";"59";"2020-04-08";284;112;425;20
"84";"69";"2020-04-08";547;245;432;34
"84";"79";"2020-04-08";746;264;422;156
"84";"89";"2020-04-08";738;44;303;280
"84";"90";"2020-04-08";351;4;68;138
"93";"0";"2020-04-08";1796;437;1684;269
"93";"09";"2020-04-08";0;0;0;0
"93";"19";"2020-04-08";9;1;27;0
"93";"29";"2020-04-08";34;6;133;1
"93";"39";"2020-04-08";58;7;174;1
"93";"49";"2020-04-08";99;28;278;2
"93";"59";"2020-04-08";271;80;345;13
"93";"69";"2020-04-08";366;110;315;21
"93";"79";"2020-04-08";424;146;202;66
"93";"89";"2020-04-08";365;38;131;110
"93";"90";"2020-04-08";136;2;46;52
"94";"0";"2020-04-08";90;21;110;32
"94";"09";"2020-04-08";0;0;0;0
"94";"19";"2020-04-08";0;0;4;0
"94";"29";"2020-04-08";0;0;14;0
"94";"39";"2020-04-08";2;1;12;0
"94";"49";"2020-04-08";3;0;15;1
"94";"59";"2020-04-08";12;3;21;1
"94";"69";"2020-04-08";14;8;17;2
"94";"79";"2020-04-08";25;6;11;7
"94";"89";"2020-04-08";25;3;8;16
"94";"90";"2020-04-08";9;0;5;5
"01";"0";"2020-04-09";33;17;49;10
"01";"09";"2020-04-09";0;0;0;0
"01";"19";"2020-04-09";0;0;0;0
"01";"29";"2020-04-09";0;0;1;0
"01";"39";"2020-04-09";1;1;3;0
"01";"49";"2020-04-09";3;2;4;0
"01";"59";"2020-04-09";4;2;16;1
"01";"69";"2020-04-09";10;5;11;2
"01";"79";"2020-04-09";8;6;5;4
"01";"89";"2020-04-09";7;1;8;3
"01";"90";"2020-04-09";0;0;0;0
"02";"0";"2020-04-09";47;17;45;5
"02";"09";"2020-04-09";0;0;0;0
"02";"19";"2020-04-09";0;0;0;0
"02";"29";"2020-04-09";1;0;2;0
"02";"39";"2020-04-09";1;0;2;0
"02";"49";"2020-04-09";4;0;11;0
"02";"59";"2020-04-09";13;8;9;0
"02";"69";"2020-04-09";13;4;11;0
"02";"79";"2020-04-09";11;5;8;1
"02";"89";"2020-04-09";3;0;2;4
"02";"90";"2020-04-09";1;0;0;0
"03";"0";"2020-04-09";9;1;12;0
"03";"09";"2020-04-09";0;0;0;0
"03";"19";"2020-04-09";0;0;0;0
"03";"29";"2020-04-09";0;0;1;0
"03";"39";"2020-04-09";0;0;2;0
"03";"49";"2020-04-09";3;0;5;0
"03";"59";"2020-04-09";1;0;1;0
"03";"69";"2020-04-09";2;0;1;0
"03";"79";"2020-04-09";1;0;0;0
"03";"89";"2020-04-09";1;1;1;0
"03";"90";"2020-04-09";0;0;0;0
"04";"0";"2020-04-09";36;3;58;0
"04";"09";"2020-04-09";0;0;0;0
"04";"19";"2020-04-09";1;0;1;0
"04";"29";"2020-04-09";2;0;9;0
"04";"39";"2020-04-09";1;0;12;0
"04";"49";"2020-04-09";2;0;6;0
"04";"59";"2020-04-09";11;1;10;0
"04";"69";"2020-04-09";8;1;11;0
"04";"79";"2020-04-09";5;1;9;0
"04";"89";"2020-04-09";6;0;0;0
"04";"90";"2020-04-09";0;0;0;0
"06";"0";"2020-04-09";16;4;26;2
"06";"09";"2020-04-09";0;0;0;0
"06";"19";"2020-04-09";0;0;1;0
"06";"29";"2020-04-09";1;0;2;0
"06";"39";"2020-04-09";0;0;4;0
"06";"49";"2020-04-09";2;1;7;1
"06";"59";"2020-04-09";2;1;7;1
"06";"69";"2020-04-09";7;2;2;0
"06";"79";"2020-04-09";2;0;1;0
"06";"89";"2020-04-09";2;0;2;0
"06";"90";"2020-04-09";0;0;0;0
"11";"0";"2020-04-09";12681;2654;7620;3040
"11";"09";"2020-04-09";0;0;0;0
"11";"19";"2020-04-09";35;10;59;1
"11";"29";"2020-04-09";177;31;321;3
"11";"39";"2020-04-09";541;131;812;19
"11";"49";"2020-04-09";1065;301;1149;54
"11";"59";"2020-04-09";2045;702;1645;215
"11";"69";"2020-04-09";2558;901;1557;431
"11";"79";"2020-04-09";2559;500;1108;760
"11";"89";"2020-04-09";2379;38;622;1002
"11";"90";"2020-04-09";1123;3;159;524
"24";"0";"2020-04-09";864;207;474;164
"24";"09";"2020-04-09";0;0;0;0
"24";"19";"2020-04-09";0;0;8;0
"24";"29";"2020-04-09";10;2;16;0
"24";"39";"2020-04-09";22;8;28;1
"24";"49";"2020-04-09";47;15;73;1
"24";"59";"2020-04-09";77;32;78;4
"24";"69";"2020-04-09";158;74;100;11
"24";"79";"2020-04-09";201;69;90;32
"24";"89";"2020-04-09";211;6;56;69
"24";"90";"2020-04-09";128;1;12;44
"27";"0";"2020-04-09";1211;283;1237;427
"27";"09";"2020-04-09";0;0;0;0
"27";"19";"2020-04-09";3;1;13;0
"27";"29";"2020-04-09";6;0;51;0
"27";"39";"2020-04-09";23;5;96;2
"27";"49";"2020-04-09";36;12;142;4
"27";"59";"2020-04-09";114;47;204;9
"27";"69";"2020-04-09";239;100;235;37
"27";"79";"2020-04-09";286;94;233;94
"27";"89";"2020-04-09";365;22;196;201
"27";"90";"2020-04-09";136;1;54;79
"28";"0";"2020-04-09";697;212;478;179
"28";"09";"2020-04-09";0;0;0;0
"28";"19";"2020-04-09";1;0;2;0
"28";"29";"2020-04-09";5;0;26;0
"28";"39";"2020-04-09";11;7;42;1
"28";"49";"2020-04-09";51;26;59;3
"28";"59";"2020-04-09";92;44;95;10
"28";"69";"2020-04-09";163;68;94;27
"28";"79";"2020-04-09";167;52;83;38
"28";"89";"2020-04-09";153;15;55;70
"28";"90";"2020-04-09";53;0;13;30
"32";"0";"2020-04-09";2429;580;1703;715
"32";"09";"2020-04-09";0;0;0;0
"32";"19";"2020-04-09";7;3;9;0
"32";"29";"2020-04-09";23;7;91;0
"32";"39";"2020-04-09";57;14;157;2
"32";"49";"2020-04-09";142;49;236;8
"32";"59";"2020-04-09";302;113;355;30
"32";"69";"2020-04-09";492;180;294;92
"32";"79";"2020-04-09";570;170;290;164
"32";"89";"2020-04-09";610;35;182;294
"32";"90";"2020-04-09";201;2;61;121
"44";"0";"2020-04-09";4769;916;4160;1854
"44";"09";"2020-04-09";0;0;0;0
"44";"19";"2020-04-09";11;1;33;0
"44";"29";"2020-04-09";39;7;175;2
"44";"39";"2020-04-09";100;27;266;8
"44";"49";"2020-04-09";200;56;403;21
"44";"59";"2020-04-09";517;162;710;56
"44";"69";"2020-04-09";979;342;875;187
"44";"79";"2020-04-09";1176;277;835;506
"44";"89";"2020-04-09";1247;38;566;771
"44";"90";"2020-04-09";454;1;154;297
"52";"0";"2020-04-09";741;176;615;158
"52";"09";"2020-04-09";0;0;0;0
"52";"19";"2020-04-09";1;0;1;0
"52";"29";"2020-04-09";13;2;23;0
"52";"39";"2020-04-09";18;5;43;0
"52";"49";"2020-04-09";33;12;89;1
"52";"59";"2020-04-09";80;39;111;3
"52";"69";"2020-04-09";145;51;120;19
"52";"79";"2020-04-09";166;63;131;28
"52";"89";"2020-04-09";198;1;80;68
"52";"90";"2020-04-09";84;1;16;39
"53";"0";"2020-04-09";493;133;397;109
"53";"09";"2020-04-09";0;0;0;0
"53";"19";"2020-04-09";1;0;3;0
"53";"29";"2020-04-09";7;1;13;0
"53";"39";"2020-04-09";11;1;45;0
"53";"49";"2020-04-09";30;12;46;0
"53";"59";"2020-04-09";64;28;69;1
"53";"69";"2020-04-09";96;44;78;14
"53";"79";"2020-04-09";129;43;89;22
"53";"89";"2020-04-09";105;4;37;47
"53";"90";"2020-04-09";47;0;10;25
"75";"0";"2020-04-09";792;241;789;173
"75";"09";"2020-04-09";0;0;0;0
"75";"19";"2020-04-09";2;0;11;0
"75";"29";"2020-04-09";6;2;49;1
"75";"39";"2020-04-09";15;5;68;0
"75";"49";"2020-04-09";37;14;98;1
"75";"59";"2020-04-09";87;43;150;8
"75";"69";"2020-04-09";172;77;150;12
"75";"79";"2020-04-09";175;75;115;38
"75";"89";"2020-04-09";194;21;92;75
"75";"90";"2020-04-09";95;0;38;37
"76";"0";"2020-04-09";992;328;1081;203
"76";"09";"2020-04-09";0;0;0;0
"76";"19";"2020-04-09";2;1;7;0
"76";"29";"2020-04-09";8;2;60;1
"76";"39";"2020-04-09";17;5;98;0
"76";"49";"2020-04-09";63;17;143;1
"76";"59";"2020-04-09";120;57;229;7
"76";"69";"2020-04-09";212;104;194;18
"76";"79";"2020-04-09";261;113;208;44
"76";"89";"2020-04-09";225;26;99;98
"76";"90";"2020-04-09";83;3;27;34
"84";"0";"2020-04-09";2962;720;2508;685
"84";"09";"2020-04-09";0;0;0;0
"84";"19";"2020-04-09";8;1;20;0
"84";"29";"2020-04-09";24;5;123;0
"84";"39";"2020-04-09";47;11;206;4
"84";"49";"2020-04-09";108;28;295;8
"84";"59";"2020-04-09";277;106;451;21
"84";"69";"2020-04-09";529;245;472;38
"84";"79";"2020-04-09";738;262;465;161
"84";"89";"2020-04-09";796;45;334;294
"84";"90";"2020-04-09";386;2;79;145
"93";"0";"2020-04-09";1748;426;1841;286
"93";"09";"2020-04-09";0;0;0;0
"93";"19";"2020-04-09";6;1;30;0
"93";"29";"2020-04-09";32;5;138;1
"93";"39";"2020-04-09";52;8;185;1
"93";"49";"2020-04-09";89;24;293;3
"93";"59";"2020-04-09";240;75;383;15
"93";"69";"2020-04-09";348;109;341;21
"93";"79";"2020-04-09";429;146;229;69
"93";"89";"2020-04-09";376;35;156;117
"93";"90";"2020-04-09";144;3;51;56
"94";"0";"2020-04-09";88;19;112;34
"94";"09";"2020-04-09";0;0;0;0
"94";"19";"2020-04-09";1;1;4;0
"94";"29";"2020-04-09";0;0;14;0
"94";"39";"2020-04-09";2;1;12;0
"94";"49";"2020-04-09";4;0;15;1
"94";"59";"2020-04-09";12;3;21;1
"94";"69";"2020-04-09";13;7;18;2
"94";"79";"2020-04-09";25;5;11;7
"94";"89";"2020-04-09";22;2;9;18
"94";"90";"2020-04-09";9;0;5;5
"01";"0";"2020-04-10";33;19;50;10
"01";"09";"2020-04-10";0;0;0;0
"01";"19";"2020-04-10";0;0;0;0
"01";"29";"2020-04-10";0;0;1;0
"01";"39";"2020-04-10";1;1;3;0
"01";"49";"2020-04-10";3;3;4;0
"01";"59";"2020-04-10";4;2;16;1
"01";"69";"2020-04-10";8;4;13;2
"01";"79";"2020-04-10";9;7;5;4
"01";"89";"2020-04-10";8;2;7;3
"01";"90";"2020-04-10";0;0;0;0
"02";"0";"2020-04-10";44;16;48;5
"02";"09";"2020-04-10";0;0;0;0
"02";"19";"2020-04-10";0;0;0;0
"02";"29";"2020-04-10";1;0;2;0
"02";"39";"2020-04-10";1;0;2;0
"02";"49";"2020-04-10";4;0;11;0
"02";"59";"2020-04-10";13;7;9;0
"02";"69";"2020-04-10";11;4;13;0
"02";"79";"2020-04-10";11;5;8;1
"02";"89";"2020-04-10";2;0;3;4
"02";"90";"2020-04-10";1;0;0;0
"03";"0";"2020-04-10";9;1;13;0
"03";"09";"2020-04-10";0;0;0;0
"03";"19";"2020-04-10";0;0;0;0
"03";"29";"2020-04-10";0;0;1;0
"03";"39";"2020-04-10";0;0;2;0
"03";"49";"2020-04-10";4;0;5;0
"03";"59";"2020-04-10";0;0;2;0
"03";"69";"2020-04-10";2;0;1;0
"03";"79";"2020-04-10";1;0;0;0
"03";"89";"2020-04-10";1;1;1;0
"03";"90";"2020-04-10";0;0;0;0
"04";"0";"2020-04-10";42;3;58;0
"04";"09";"2020-04-10";0;0;0;0
